age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,original_label,original_prediction,final_prediction,IsCorrect,IsAdversarial,score_before_attack,score_after_attack
48,Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States,0,1,1,False,False,0.819261924366781,0.819261924366781
40,Private,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0,0,0,True,False,0.13255023096481336,0.13255023096481336
50,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,84,United-States,1,0,0,False,False,0.13532617343595074,0.13532617343595074
57,Private,10th,6,Widowed,Other-service,Unmarried,White,Female,0,0,40,United-States,0,0,0,True,False,0.00911514034593749,0.00911514034593749
47,Private,Assoc-voc,12,Married-civ-spouse,Priv-house-serv,Husband,Black,Male,0,0,40,Iran,1,1,0,True,True,0.7391094234073443,0.4847211915006194
35,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50,United-States,1,1,1,True,False,0.9908720971567908,0.9908720971567908
29,Private,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,0,0,True,False,0.04745061813937493,0.04745061813937493
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1485,60,United-States,0,1,1,False,False,0.9466075533342673,0.9466075533342673
27,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0,0,0,True,False,0.07917792439601962,0.07917792439601962
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0,0,0,True,False,0.006076789896292854,0.006076789896292854
60,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0,0,0,True,False,0.20668815287544956,0.20668815287544956
42,Private,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,41,Jamaica,0,0,1,True,True,0.02715849114480567,0.820351648396507
42,Private,HS-grad,9,Divorced,Craft-repair,Unmarried,Black,Male,0,0,45,United-States,0,0,0,True,False,0.13869836917869557,0.13869836917869557
46,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,0,0,0,True,False,0.037501433886568486,0.037501433886568486
42,Private,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,1,0,0,False,False,0.3958853740609,0.3958853740609
48,Private,Bachelors,13,Married-spouse-absent,Armed-Forces,Husband,Black,Female,0,0,41,South,1,1,0,True,True,0.8986215292395648,0.45945081790045034
23,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,3942,0,40,United-States,0,0,0,True,False,0.018151045940784392,0.018151045940784392
46,Local-gov,11th,7,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0,0,0,True,False,0.012335013475393659,0.012335013475393659
32,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Other-relative,White,Female,0,0,23,United-States,1,1,0,True,True,0.7315894599114793,0.1509024213366866
39,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1848,40,United-States,1,1,1,True,False,0.979112252574948,0.979112252574948
23,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0,0,0,True,False,0.018345498177856807,0.018345498177856807
53,Self-emp-not-inc,1st-4th,9,Married-spouse-absent,Prof-specialty,Husband,White,Male,0,0,44,India,1,1,0,True,True,0.7128404610223525,0.3692651254021612
40,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,4931,213,40,Puerto-Rico,1,1,0,True,True,0.9538899616370381,0.3982005318323473
43,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,1762,24,United-States,0,0,0,True,False,0.01445138888352479,0.01445138888352479
28,Private,Assoc-voc,11,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0,0,0,True,False,0.0860190081709626,0.0860190081709626
31,State-gov,Masters,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1762,60,Thailand,1,1,0,True,True,0.9418886156055085,0.33744046778819164
21,Local-gov,Masters,13,Widowed,Prof-specialty,Wife,White,Female,0,0,60,Philippines,0,0,1,True,True,0.011608635928609647,0.9268246457674105
24,Private,1st-4th,11,Married-AF-spouse,Tech-support,Wife,White,Male,0,0,24,Iran,0,0,1,True,True,0.00853988603024289,0.7069352940763141
62,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,10520,0,33,United-States,1,1,1,True,False,0.975304691008883,0.975304691008883
46,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1,1,1,True,False,0.9686906625735955,0.9686906625735955
39,Private,HS-grad,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,Philippines,1,1,0,True,True,0.5626978106210772,0.35912799595613837
41,Private,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Female,10520,0,38,United-States,1,1,1,True,False,0.9942398246932597,0.9942398246932597
43,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,1,0,0,False,False,0.21640593534577807,0.21640593534577807
31,Private,Preschool,12,Married-spouse-absent,Adm-clerical,Wife,White,Female,0,0,40,Japan,0,0,1,True,True,0.04960446876785526,0.6236631167342381
46,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,1,1,1,True,False,0.9213695114988203,0.9213695114988203
53,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,52,United-States,1,1,1,True,False,0.9327442821265373,0.9327442821265373
41,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,43,United-States,1,1,1,True,False,0.9949799309259899,0.9949799309259899
33,Private,HS-grad,10,Married-civ-spouse,Priv-house-serv,Husband,Amer-Indian-Eskimo,Male,0,1980,44,Laos,1,1,0,True,True,0.9695038337563493,0.3793330946091703
48,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1,1,1,True,False,0.9550626333755622,0.9550626333755622
34,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0,1,1,False,False,0.542586246794322,0.542586246794322
34,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,1,1,0,True,True,0.5415097457559049,0.4952459568660495
45,Private,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Male,2174,0,50,United-States,0,0,0,True,False,0.33469451937845185,0.33469451937845185
39,Private,Masters,13,Separated,Tech-support,Husband,White,Male,0,0,40,Puerto-Rico,1,1,0,True,True,0.9158604335991722,0.4557570605229576
37,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,25236,0,25,United-States,1,1,1,True,False,0.9849944362107423,0.9849944362107423
23,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0,0,0,True,False,0.008192828576411229,0.008192828576411229
50,Private,10th,4,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,40,Cambodia,0,0,1,True,True,0.4865187369992843,0.5180083410865641
43,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,1,1,1,True,False,0.7506225185564774,0.7506225185564774
26,Private,Assoc-acdm,11,Divorced,Craft-repair,Not-in-family,White,Male,0,0,64,Japan,0,0,1,True,True,0.2053284931606821,0.5676698253147254
61,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1,1,1,True,False,0.8332239296228321,0.8332239296228321
33,Private,Assoc-voc,11,Separated,Adm-clerical,Own-child,Black,Female,0,0,50,United-States,0,0,0,True,False,0.16545229384848215,0.16545229384848215
58,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,1,1,1,True,False,0.9943735545203473,0.9943735545203473
