age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,original_label,original_prediction,final_prediction,IsCorrect,IsAdversarial,score_before_attack,score_after_attack
48,Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States,0,1,1,False,False,0.72432196,0.72432274
40,Private,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0,0,0,True,False,0.05005243,0.050052788
47,Self-emp-not-inc,11th,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,84,United-States,1,1,0,True,True,0.5124051,0.34294027
57,Private,10th,6,Widowed,Other-service,Unmarried,White,Female,0,0,40,United-States,0,0,0,True,False,0.016781218,0.016781377
46,Private,Assoc-voc,11,Married-spouse-absent,Craft-repair,Husband,Black,Male,0,0,40,United-States,1,1,0,True,True,0.7596725,0.24583337
35,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,50,United-States,1,1,1,True,False,0.9999201,0.9999201
29,Private,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,0,0,True,False,0.00861207,0.00861194
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1485,60,United-States,0,1,1,False,False,0.94090885,0.94090915
27,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0,0,0,True,False,0.09080219,0.090800926
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0,0,0,True,False,0.0006969678,0.00069697434
60,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0,0,0,True,False,0.24704123,0.24703947
42,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0,0,0,True,False,0.010828676,0.010828716
42,Private,HS-grad,10,Married-AF-spouse,Craft-repair,Own-child,Black,Male,0,213,45,United-States,0,0,1,True,True,0.07022517,0.6776007
46,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,0,0,0,True,False,0.028917976,0.0289176
42,Private,1st-4th,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,1,1,0,True,True,0.63732034,0.23310477
48,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,1,1,1,True,False,0.9393408,0.93934053
23,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,3942,0,40,United-States,0,0,0,True,False,0.034873206,0.034873206
46,Local-gov,11th,7,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0,0,0,True,False,0.012529684,0.0125295445
32,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,24,United-States,1,0,0,False,False,0.31772253,0.31772336
39,Private,Bachelors,13,Married-spouse-absent,Sales,Husband,White,Male,0,2001,40,United-States,1,1,0,True,True,0.99891007,0.48789293
23,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0,0,0,True,False,0.0010197897,0.0010197819
52,Local-gov,1st-4th,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,Germany,1,1,0,True,True,0.851486,0.46560532
40,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,5178,0,40,United-States,1,1,1,True,False,0.9995328,0.9995328
42,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,1825,24,United-States,0,0,1,True,True,0.0010660801,0.7562187
28,Private,Assoc-voc,11,Married-AF-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,0,0,1,True,True,0.06076707,0.7351243
